jobTitle,company,location,experience,salary,jobLink,skills
Hiring For data analyst For a chemical industry,H R Organo Chem (HROC),"Mumbai(Churchgate), Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,3.5-4.5 Lacs PA,https://www.naukri.com/job-listings-hiring-for-data-analyst-for-a-chemical-industry-h-r-organo-chem-hroc-mumbai-mumbai-suburban-mumbai-all-areas-2-to-5-years-291223004091,"import data, import data analyst, Database Administration, data analysis, Import Sourcing, import, import data analysis, Sales Coordination"
Data Analyst,Dynatech Systems,Ahmedabad,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-dynatech-systems-ahmedabad-3-to-8-years-291124008539,"BI Reporting & Dashboards, Collaboration & Requirements Gathering, Data Visualization, Azure Data Lake, Data Governance, Power Bi, Data Analysis, Data Cleansing"
Data Analyst,Shiv Nadar School,Noida,3-5 Yrs,10-14 Lacs PA,https://www.naukri.com/job-listings-data-analyst-shiv-nadar-school-noida-3-to-5-years-291124006536,"Data Analysis, Performance Metrics, Excel, Power Bi, Data Sets, Microsoft Power Bi, Data Visualization, Statistical Analysis"
Data Analyst,Vitromed Healthcare,Jaipur,1-5 Yrs,2-3.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-vitromed-healthcare-jaipur-1-to-5-years-291124003989,"Pivot Table, VLOOKUP, Conditional Formatting, Advanced Excel, MIS Reporting, Formulas, Macros, HLOOKUP"
Data Analyst,Ryan India Tax Services,Remote,6-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ryan-india-tax-services-hyderabad-6-to-10-years-281124020469,"Uml Diagrams, Data Analysis, Data Architecture, SQL, Analysis, UML, Data, Architecture"
HRIS Data Analyst,Haworth,Chennai,5-10 Yrs,8-14 Lacs PA,https://www.naukri.com/job-listings-hris-data-analyst-haworth-chennai-5-to-10-years-281124013550,"Power Bi, Data Analysis, Power Automate, Powerapps, Bi, Data, Analysis, HRIS"
Data Analyst,Hema's Enterprises,Pune,2-6 Yrs,8-14 Lacs PA,https://www.naukri.com/job-listings-data-analyst-hema-s-enterprises-pune-2-to-6-years-261124010038,"Analytical, SQL, Python, Excel, Google Analytics, Doubleclick, Campaigns, Tableau"
Data Analyst,Aloola,Surat,4-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-aloola-tech-pvt-ltd-surat-4-to-9-years-071124500988,"Data analysis, Data modeling, Analytical, Data structures, HTML, Data quality, Analytics, SQL"
Data Analyst,Bennett University,Greater Noida,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-bennett-university-greater-noida-3-to-6-years-281124916769,"Google Sheets, Power Bi, google dashboard, Data Scraping, Advanced Excel, Python, Google Apps Script, Bi"
Data Analyst,Acciojob,Noida,1-6 Yrs,7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-acciojob-noida-1-to-6-years-281124019563,"Power Bi, Tableau, SQL, Python, Bi, Data analysis, Data"
Data Analyst,AstraZeneca India Pvt. Ltd,Chennai,1-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-astrazeneca-india-pvt-ltd-chennai-1-to-7-years-201124509489,"Operations research, Operational excellence, Pharma, Analytical, Oncology, Data Analyst, Continuous improvement, MS Office"
Data Analyst - AI / ML,Leading Client,Chennai,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ai-ml-sampoorna-consultants-pvt-ltd-chennai-3-to-5-years-271124905896,"data analysis, Azure, PyTorch, Power BI, Pandas, Spark ML, Tableau, data engineering"
Data Retention Analyst - Data Governance,Leading Client,Hybrid - Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-retention-analyst-data-governance-search-advisers-services-guj-pvt-ltd-bengaluru-3-to-5-years-051124914697,"Data Governance, Project Management, Data Retention Analyst, Data Management, Data Analysis, Data Retention, Risk Management, Analysis"
Data Governance - Data Retention Analyst,Leading Client,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-governance-data-retention-analyst-search-advisers-services-guj-pvt-ltd-bengaluru-3-to-5-years-051124913831,"Data Governance, Data Management, Data Analysis, Risk Management, Data Retention, Analysis, Governance, Data"
Data Analyst - Pharma,Virtusa,Chennai,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-pharma-virtusa-consulting-services-pvt-ltd-chennai-1-to-5-years-221124503994,"Pharma, Programming, Data Analyst, Python, clinical data, Pharmaceutical, Program, Data analysis"
Data Analyst/Brand Analyst,Virtusa,Chennai,1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-brand-analyst-virtusa-consulting-services-pvt-ltd-chennai-1-to-4-years-201124509772,"Microstrategy, Simulation, Machine learning, Resourcing, QlikView, MS Office, Data mining, Continuous improvement"
